resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/9/24 12:04:51.00,BUDGET OWNER,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/9/26 12:06:50.00,SUPERVISOR,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/9/27 12:18:14.00,DIRECTOR,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/25 9:24:52.00,EMPLOYEE,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/25 9:24:55.00,ADMINISTRATION,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/10/31 10:18:17.00,BUDGET OWNER,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/5 9:52:52.00,SUPERVISOR,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
SYSTEM,Request Payment,2018/11/5 14:09:43.00,UNDEFINED,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
SYSTEM,Payment Handled,2018/11/8 16:31:15.00,UNDEFINED,travel permit number 60343,task 569,organizational unit 65461,95.82628319,task 427,budget 565,project 566,project 503,request for payment 60346,organizational unit 65456,3964.242072,travel permit 60342,UNKNOWN
STAFF MEMBER,Request For Payment SAVED by EMPLOYEE,2018/4/19 8:35:08.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65465,871.4170967,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186105,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/3 10:52:32.00,EMPLOYEE,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/3 10:53:27.00,ADMINISTRATION,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/4 8:32:44.00,SUPERVISOR,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/18 15:31:59.00,EMPLOYEE,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/4/18 15:32:01.00,ADMINISTRATION,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/4/20 12:54:08.00,SUPERVISOR,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
SYSTEM,Request Payment,2018/4/21 9:11:49.00,UNDEFINED,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
SYSTEM,Payment Handled,2018/4/26 15:30:55.00,UNDEFINED,travel permit number 68173,task 68176,organizational unit 65463,651.1111097,task 427,budget 6198,project 8264,project 503,request for payment 68174,organizational unit 65455,1346.304765,travel permit 68172,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/7/25 12:33:09.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,1112.095617,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185404,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by PRE_APPROVER,2017/7/25 12:36:59.00,PRE_APPROVER,UNKNOWN,UNKNOWN,organizational unit 65463,1112.095617,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185404,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2017/7/26 6:38:41.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,1112.095617,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185404,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/31 13:02:45.00,EMPLOYEE,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/31 13:02:49.00,ADMINISTRATION,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/1/31 14:49:00.00,SUPERVISOR,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/6 10:20:17.00,EMPLOYEE,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/6 10:21:48.00,ADMINISTRATION,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/7 8:47:12.00,SUPERVISOR,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
SYSTEM,Request Payment,2018/3/8 7:57:16.00,UNDEFINED,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
SYSTEM,Payment Handled,2018/3/12 16:31:16.00,UNDEFINED,travel permit number 2776,task 2780,organizational unit 65463,274.9682468,task 427,budget 1399,project 2777,project 503,request for payment 2778,organizational unit 65455,2279.529507,travel permit 2775,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/9 10:23:03.00,EMPLOYEE,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/9 10:23:04.00,ADMINISTRATION,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/10 7:26:03.00,SUPERVISOR,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/28 20:10:31.00,EMPLOYEE,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/6/28 20:10:44.00,ADMINISTRATION,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/6/29 14:14:48.00,SUPERVISOR,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
SYSTEM,Request Payment,2018/7/3 5:48:25.00,UNDEFINED,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
SYSTEM,Payment Handled,2018/7/5 15:31:35.00,UNDEFINED,travel permit number 40813,UNKNOWN,organizational unit 65469,292.769567,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40814,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/12/4 12:29:00.00,EMPLOYEE,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/12/4 12:29:05.00,ADMINISTRATION,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/12/4 12:30:31.00,SUPERVISOR,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/12 14:01:49.00,EMPLOYEE,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/12 14:02:37.00,ADMINISTRATION,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/13 10:17:11.00,SUPERVISOR,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
SYSTEM,Request Payment,2019/1/25 9:15:02.00,UNDEFINED,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
SYSTEM,Payment Handled,2019/1/28 16:31:29.00,UNDEFINED,travel permit number 23792,UNKNOWN,organizational unit 65469,984.8160414,UNKNOWN,budget 3594,UNKNOWN,project 503,request for payment 23793,organizational unit 65454,1760.73171,travel permit 23791,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/1/11 16:25:24.00,EMPLOYEE,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017/1/11 16:25:37.00,SUPERVISOR,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017/1/12 9:56:40.00,DIRECTOR,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/3/27 13:44:15.00,EMPLOYEE,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/3/27 13:44:23.00,PRE_APPROVER,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/3/29 8:29:46.00,SUPERVISOR,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
SYSTEM,Request Payment,2017/4/3 13:15:36.00,UNDEFINED,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
SYSTEM,Payment Handled,2017/4/6 15:31:01.00,UNDEFINED,travel permit number 76210,task 11190,organizational unit 65463,1381.599102,task 427,budget 899,project 2260,project 503,request for payment 76211,organizational unit 65455,3093.928492,travel permit 76209,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/25 10:18:58.00,EMPLOYEE,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/25 10:21:55.00,ADMINISTRATION,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/29 7:44:28.00,SUPERVISOR,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/1/29 13:26:30.00,DIRECTOR,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/23 8:43:11.00,EMPLOYEE,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/2/23 8:49:01.00,ADMINISTRATION,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/2/26 13:20:10.00,EMPLOYEE,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/26 20:32:11.00,EMPLOYEE,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/26 20:32:26.00,ADMINISTRATION,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/27 9:02:06.00,SUPERVISOR,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
SYSTEM,Request Payment,2018/3/5 16:33:06.00,UNDEFINED,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
SYSTEM,Payment Handled,2018/3/8 16:31:00.00,UNDEFINED,travel permit number 1811,task 1816,organizational unit 65454,2464.898109,task 427,budget 1812,project 1813,project 503,request for payment 1814,organizational unit 65460,3142.745089,travel permit 1810,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/7/30 11:56:13.00,EMPLOYEE,UNKNOWN,task 159249,organizational unit 65461,113.7807181,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 185890,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/7/30 11:56:23.00,ADMINISTRATION,UNKNOWN,task 159249,organizational unit 65461,113.7807181,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 185890,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/9 7:18:53.00,SUPERVISOR,UNKNOWN,task 159249,organizational unit 65461,113.7807181,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 185890,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/8/13 7:23:26.00,UNDEFINED,UNKNOWN,task 159249,organizational unit 65461,113.7807181,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 185890,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/8/16 15:31:24.00,UNDEFINED,UNKNOWN,task 159249,organizational unit 65461,113.7807181,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 185890,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/5 18:48:59.00,EMPLOYEE,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/5 18:49:04.00,ADMINISTRATION,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/6 9:39:15.00,SUPERVISOR,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/5/28 17:59:47.00,EMPLOYEE,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/5/28 18:00:41.00,ADMINISTRATION,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/5/29 9:20:09.00,SUPERVISOR,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
SYSTEM,Request Payment,2018/6/1 18:21:53.00,UNDEFINED,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
SYSTEM,Payment Handled,2018/6/7 15:31:38.00,UNDEFINED,travel permit number 13880,task 13883,organizational unit 65465,732.3057262,task 427,budget 3351,project 3352,project 503,request for payment 13881,organizational unit 65464,1031.809287,travel permit 13879,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/10/15 9:18:10.00,EMPLOYEE,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/10/15 9:18:12.00,ADMINISTRATION,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/15 9:25:23.00,EMPLOYEE,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/15 9:25:27.00,ADMINISTRATION,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/10/15 12:48:19.00,SUPERVISOR,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/17 5:30:28.00,SUPERVISOR,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
SYSTEM,Request Payment,2018/10/17 18:46:16.00,UNDEFINED,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
SYSTEM,Payment Handled,2018/10/22 15:31:25.00,UNDEFINED,travel permit number 58334,UNKNOWN,organizational unit 65462,1361.573477,UNKNOWN,budget 761,UNKNOWN,project 503,request for payment 58335,organizational unit 65459,1975.898186,travel permit 58333,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/6/4 9:12:01.00,EMPLOYEE,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/6/4 9:12:30.00,ADMINISTRATION,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/6/5 6:24:21.00,SUPERVISOR,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/29 8:35:28.00,EMPLOYEE,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/6/29 8:35:35.00,ADMINISTRATION,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/7/5 5:53:45.00,SUPERVISOR,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
SYSTEM,Request Payment,2018/7/5 7:15:11.00,UNDEFINED,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
SYSTEM,Payment Handled,2018/7/9 15:31:27.00,UNDEFINED,travel permit number 54919,UNKNOWN,organizational unit 65454,219.1064726,UNKNOWN,budget 994,UNKNOWN,project 503,request for payment 54922,organizational unit 65460,2799.693817,travel permit 54918,activity 995
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/7/28 11:14:06.00,EMPLOYEE,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017/7/28 11:14:12.00,SUPERVISOR,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017/8/1 10:20:05.00,DIRECTOR,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
